status_id,text,relevant_ra,relevant_gpt,relevant_gpt4
1287156937230974978,"Hmmm, the Trump administration is sending federal troops into cities in order to create ""viral content""? Is the policy objective merely to dominate Twitter and Facebook? ---&gt; https://t.co/9nxY4SxEkc https://t.co/QT0QCWg0QX",0,1,0
1288117994141278214,"Donald trump Jr's Twitter account is temporarily suspended for spreading misinformation on COVID-19.    Great, now do his daddy.    PERMANENTLY.",1,1,1
1288125075581935616,"@TeamYouTube     Hey @TeamYouTube my YouTube account was banned and I sent an appeal but didn't get a proper  response  back, and I also don't make youtube videos but watches them and I don't know why I was banned",1,1,1
1289174071448485891,@anipal150 https://t.co/rR2z6DG7g2 https://t.co/eAB322R3a1 .@kattavernd: I shall never forget that Double Trouble and other defenceless cats were tormented by @UWMadison to receive more than $3 million dollars in tax money through the #NIH.   https://t.co/B09aJgfMnK https://t.co/LXoiaka431,0,0,0
1290544107627012096,Backup account create chesevallaki :-  Meeru enni accnts chesina adhi ivale cheyandi  Daily 20 (tw+retw) cheyandi aa acc nunchi   Direct trend appude aa accounts tho participate chestha anthe kudarad..  First day more than 40 + tweets chestey ban avutundi and otp ostaledhu,0,0,0
1292427398516883456,Great son  Great Husband  Great Father  Great Actor  Overall a wonderful Human Being   Proud to be your fan Superstar... @urstrulyMahesh   Superstar for reason  #SarkaruVaariPaata #HBDMaheshBabu   https://t.co/4Um7mG6LE5,0,0,0
1297891689789440000,Hindustani Bhau's account was suspended. So Amaal Mallik and Bhai fans are working overtime to maintain the balance of gaalis in the universe.,1,0,1
1297942802538651651,Please unfollow and block this fake #FBPE account. https://t.co/Ori2zPQBzo,0,1,0
1298316405390168067,#Win your very own #Free Falken @SwissArmy pocket knife weekly #giveaway #contest. RT &amp; follow #FalkenTire to enter to #score this #prize! Rules: https://t.co/hZgWAdAaQW Day1 https://t.co/k0K5nMqrHN,0,0,0
1303246167925575680,"The Lib Dems could‘ve joined a cross-party consensus for soft Brexit, but they voted against a Customs Union in Parliament depriving it of a majority. They didn’t want Brexit resolved as otherwise their policy platform in an election would have consisted only of Skills Wallets",0,0,0
1311005884303077377,REPORT     Please report this account!    https://t.co/1uxsu3FTmh    It’s bring PCY’s name up to something unrelated to PCY and try to spread it everywhere.    ️ Report in target harassment ️    ️ DO NOT ENGAGE. Just block and report this acc. ️ https://t.co/CZvn5y9ppV,1,1,1
1318034805892808706,"Facebook’s global policy manager for content regulation, Anna Makanju, advised Joe Biden on Ukraine policy during his time as Vice President. https://t.co/t0tHPuxRnO",1,0,1
1318676966430642189,If you see this at the beach in haiti   DONT GO ISSA MERMAID  https://t.co/pGNCquYArO,0,0,0
1321908644808675331,"Keep items cold, or dry, w/ a Falken waterproof bag. RT &amp; follow #FalkenTire to enter to #win this #giveaway #contest #prize or other #swag! Rules: https://t.co/hZgWAdAaQW Day4 https://t.co/ClZDO9NbKj",0,0,0
